Party,Votes,%,Seats,+/–
Bulgarian Agrarian National Union,"176,281",27.3,77,+30
Bulgarian Social Democratic Workers' Party (Narrow Socialists),"119,395",18.5,47,+36
Bulgarian Social Democratic Workers Party (Broad Socialists),"84,185",13.1,38,+28
Democratic Party,"66,953",10.4,28,–3
People's Party,"57,907",9.0,19,+9
Progressive Liberal Party,"37,178",5.8,8,+6
Radical Democratic Party,"33,861",5.3,8,+3
People's Liberal Party-Genadiev,"14,307",2.2,1,New
People's Liberal Party-Petkov,"13,367",2.1,2,New
Agrarian Independents¹,"27,349",4.2,8,+5
Independents,"13,863",2.2,8,+5
Invalid/blank votes,"11,708",–,–,–
Total,"656,354",100,236,–9
Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver,Source: Nohlen & Stöver
