Year,Film,Role,Notes
2011,This Is England '88,Shaun Fields,TV series (3 episodes)
2016,The Hatching,Caesar,Film
2006,This Is England,Shaun Fields,British Independent Film Award for Most Promising Newcomer Nominated – ALFS Award for British Breakthrough – Acting Nominated – Empire Award for Best Newcomer
2017,Butterfly Kisses,Shrek,Film
2012,Kiss,Sean,Short Film
2012,Birdsong,Private Tipper,TV series (2 episodes)
2014,This Is England '90,Shaun Fields,TV series (4 episodes)
2006,The Innocence Project,Dizzy,TV series (7 episodes: 2006–2007)
2018,Swimming with Men,Tom,-
2009,Cast Offs,Jake,"TV series (1 episode: ""Will"")"
2008,Somers Town,Tomo,London Film Critics Circle Award for Young British Performer of the Year (also for Eden Lake) Nominated – British Independent Film Award for Best Actor
2013,Post Jump,Tom,Short Film
2015,George Misses the Train,George,Short Film
2008,Eden Lake,Cooper,Film
